n ExecPPI LengthPPI ExecPLI LengthPLI  ExecMI LengthMI
0 0.150192 134.774 0.091938 127.283 0.079377 129.977 
1 0.118935 88.7763 0.081771 87.4072 0.068539 109.496 
2 0.719544 125.367 0.296119 105.103 0.255611 130.497 
3 0.463441 132.107 0.294323 137.131 0.250279 129.872 
4 0.458113 106.001 0.300875 102.488 0.249626 99.6354 
5 0.44014 128.925 0.300503 118.11 0.254567 113.327 
6 0.446135 123.321 0.299068 120.179 0.255547 93.3997 
7 0.428395 144.756 0.295627 115.106 0.252618 134.711 
8 0.429733 141.005 0.301246 126.999 0.260413 116.605 
9 0.396052 114.239 0.305861 115.662 0.252833 113.398 
10 0.356081 122.386 0.29546 136.417 0.269251 122.356 
11 0.32359 132.608 0.303406 117.572 0.242947 132.345 
12 0.463343 113.194 0.329056 144.334 0.234745 97.856 
13 0.444053 123.751 0.291256 119.379 0.241104 104.351 
14 0.410909 152.458 0.294671 121.26 0.235365 124.914 
15 0.434146 107.531 0.291602 128.217 0.24128 110.11 
16 0.498374 110.295 0.297029 103.809 0.240638 104.185 
17 0.457311 119.781 0.290574 119.888 0.235785 123.168 
18 0.446591 103.79 0.319368 105.288 0.2403 121.795 
19 0.444279 118.028 0.291701 116.343 0.234565 114.191 
20 0.498896 137.008 0.292507 130.11 0.235195 118.465 
21 0.438255 114.4 0.300446 84.2724 0.234089 141.687 
22 0.447724 117.224 0.274838 122.971 0.230525 121.567 
23 0.408784 109.393 0.275111 106.778 0.237499 111.204 
24 0.358381 126.245 0.272317 110.379 0.242437 106.6 
25 0.360082 112.881 0.273145 129.915 0.236838 104.32 
26 0.358024 130.08 0.27458 118.539 0.235955 123.772 
27 0.355552 115.386 0.31185 131.479 0.236342 125.295 
28 0.362803 118.694 0.334293 102.61 0.237 113.808 
29 0.360468 106.08 0.277143 98.9621 0.238415 126.068 
30 0.383009 126.37 0.270668 113.354 0.236016 113.394 
31 0.352679 103.09 0.282524 117.723 0.232058 120.883 
32 0.36005 150.021 0.272451 133.069 0.23769 123.76 
33 0.353036 111.198 0.27354 102.828 0.231208 125.885 
34 0.354456 125.285 0.268375 108.51 0.236222 128.007 
35 0.355254 114.961 0.276759 110.406 0.245409 119.889 
36 0.359099 116.672 0.27209 129.875 0.236155 111.68 
37 0.361049 118.638 0.271863 115.205 0.234439 121.148 
38 0.374284 107.235 0.268925 128.91 0.238153 120.777 
39 0.357229 110.163 0.272503 116.971 0.235393 119.254 
40 0.40571 119.455 0.26879 123.215 0.233943 112.253 
41 0.36216 120.054 0.272898 92.6989 0.23474 130.49 
42 0.348104 114.316 0.275192 102.882 0.236515 111.874 
43 0.355925 109.065 0.277404 122.743 0.236684 118.059 
44 0.350455 130.79 0.276962 95.2524 0.236992 107.671 
45 0.350579 123.457 0.271983 112.458 0.238795 112.195 
46 0.380643 132.222 0.274999 116.687 0.238339 137.075 
47 0.356093 115.395 0.271554 120.756 0.241 112.454 
48 0.33982 116.109 0.272809 139.35 0.236408 127.381 
